ID,Recipe_Title,Author,Recipe_URL,Servings,Type,Ingredient_Name,Weight,Unit,Publish_Date,Crawl_Time,site
F04-0579,金針菇炒絲瓜,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0579,null,食材,金針菇,1,包,2012-06-22,2025-11-17 23:23:27,ytower
F04-0579,金針菇炒絲瓜,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0579,null,食材,絲瓜,1,條,2012-06-22,2025-11-17 23:23:27,ytower
F04-0579,金針菇炒絲瓜,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0579,null,食材,薑絲,10,公克,2012-06-22,2025-11-17 23:23:27,ytower
F04-0579,金針菇炒絲瓜,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0579,null,食材,蒜末,10,公克,2012-06-22,2025-11-17 23:23:27,ytower
F04-0579,金針菇炒絲瓜,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0579,null,調味料,鹽,1/2,小匙,2012-06-22,2025-11-17 23:23:27,ytower
F04-0579,金針菇炒絲瓜,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0579,null,調味料,胡椒粉,,少許,2012-06-22,2025-11-17 23:23:27,ytower
F04-0579,金針菇炒絲瓜,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0579,null,調味料,米酒,1,大匙,2012-06-22,2025-11-17 23:23:27,ytower
F04-0579,金針菇炒絲瓜,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F04-0579,null,調味料,熱水,30,㏄,2012-06-22,2025-11-17 23:23:27,ytower
G02-1027,小饅頭基礎麵糰,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-1027,null,食材,中筋麵粉,600,公克,2007-12-28,2025-11-17 23:23:28,ytower
G02-1027,小饅頭基礎麵糰,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-1027,null,食材,細糖,50,公克,2007-12-28,2025-11-17 23:23:28,ytower
G02-1027,小饅頭基礎麵糰,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-1027,null,食材,酵母粉,6,公克,2007-12-28,2025-11-17 23:23:28,ytower
G02-1027,小饅頭基礎麵糰,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-1027,null,食材,泡打粉,5,公克,2007-12-28,2025-11-17 23:23:28,ytower
G02-1027,小饅頭基礎麵糰,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G02-1027,null,食材,水,280,㏄,2007-12-28,2025-11-17 23:23:28,ytower
H01-320,涼糕,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-320,null,食材,太白粉,500,公克,2006-01-01,2025-11-17 23:23:30,ytower
H01-320,涼糕,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-320,null,食材,白砂糖,500,公克,2006-01-01,2025-11-17 23:23:30,ytower
H01-320,涼糕,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-320,null,食材,沙拉油,,少許,2006-01-01,2025-11-17 23:23:30,ytower
H01-320,涼糕,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-320,null,食材,熟太白粉,,少許,2006-01-01,2025-11-17 23:23:30,ytower
H01-320,涼糕,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-320,null,食材,水,1,又1/2杯,2006-01-01,2025-11-17 23:23:30,ytower
H01-320,涼糕,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=H01-320,null,食材,滾水,5,杯,2006-01-01,2025-11-17 23:23:30,ytower
F01-1113,涼拌藕片,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1113,null,食材,蓮藕,300,公克,2012-04-10,2025-11-17 23:23:31,ytower
F01-1113,涼拌藕片,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1113,null,食材,薑絲,10,公克,2012-04-10,2025-11-17 23:23:31,ytower
F01-1113,涼拌藕片,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1113,null,食材,辣椒絲,1,條,2012-04-10,2025-11-17 23:23:31,ytower
F01-1113,涼拌藕片,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1113,null,調味料,鹽,1/4,茶匙,2012-04-10,2025-11-17 23:23:31,ytower
F01-1113,涼拌藕片,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1113,null,調味料,細砂糖,1,茶匙,2012-04-10,2025-11-17 23:23:31,ytower
F01-1113,涼拌藕片,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1113,null,調味料,白醋,1,茶匙,2012-04-10,2025-11-17 23:23:31,ytower
F01-1113,涼拌藕片,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=F01-1113,null,調味料,香油,1,茶匙,2012-04-10,2025-11-17 23:23:31,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,食材,板豆腐,250,公克,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,食材,大白菜,300,公克,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,食材,荸薺,50,公克,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,食材,薑,10,公克,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,食材,香菇末,20,公克,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,食材,芹菜末,20,公克,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,食材,筊白筍末,30,公克,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,食材,麵包粉,15,公克,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,食材,麵粉,20,公克,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,食材,地瓜粉,15,公克,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,食材,水,600,㏄,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,調味料,A.醬油,1,小匙,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,調味料,鹽,,少許,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,調味料,糖,1/2,小匙,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,調味料,白胡椒粉,,少許,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,調味料,香油,1/4,小匙,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,調味料,B.素蠔油,1/2,大匙,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,調味料,醬油,1/2,大匙,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,調味料,鹽,1/4,小匙,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,調味料,香菇精,,少許,2015-03-20,2025-11-17 23:23:32,ytower
D01-0430,素獅子頭,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=D01-0430,null,調味料,糖,,少許,2015-03-20,2025-11-17 23:23:32,ytower
G01-0968,韓式辣拌冬粉,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-0968,null,食材,冬粉,100,克,2013-08-19,2025-11-17 23:23:33,ytower
G01-0968,韓式辣拌冬粉,null,https://www.ytower.com.tw/recipe/iframe-recipe.asp?seq=G01-0968,null,食材,泡菜,60,克,2013-08-19,2025-11-17 23:23:33,ytower
